brand,model,price,weight,core_thickness_mm,grip_length,rpm,shape,face_material,core_material,swing_weight,twist_weight,year
Volair,Shift EL 14mm,189.99,670,5.6,14,4.125,Elongated,Raw carbon fiber,EPP Foam,120.4,6,
Volair,Shift WB 14mm,189.99,669,5.5,14,4.125,Wide body,Raw carbon fiber,EPP Foam,107.7,7.21,
Volair,V.1F XL-W,179.99,580,6.5,16,4.125,Wide body,titanium (polyester threads),Polymer Honeycomb,114,6.93,
Volair,V.1F HYB,199.99,579,5.5,16,4.125,Hybrid,titanium (polyester threads),Polymer Honeycomb,117,6.45,
Volair,V.1F XL-L,179.99,578,6.5,16,4.125,Extra Elongated,titanium (polyester threads),Polymer Honeycomb,129,5.48,
Volair,CTRL2 Forza 16mm,199.99,447,5.5,16,4.125,Wide body,Kevlar,Polymer Honeycomb,108,7.18,
Volair,CTRL1 Forza 16mm,199.99,446,5.5,16,4.125,Elongated,Kevlar,Polymer Honeycomb,114,6.07,
Volair,Mach 2 Forza 14mm,179.99,293,5.5,14,4.125,Wide body,Raw carbon fiber,Polymer Honeycomb,106,6.82,
Volair,Mach 2 Forza 16mm,179.99,292,5.5,16,4.25,Wide body,Raw carbon fiber,Polymer Honeycomb,110,7.22,
Volair,Mach 1 14mm,159.99,249,5.5,14,4.3,Elongated,Raw carbon fiber,Polymer Honeycomb,114,5.87,
Volair,Mach 1 Forza 14mm,179.99,248,5.5,14,4.125,Elongated,Raw carbon fiber,Polymer Honeycomb,111,5.99,
Volair,Mach 1 Forza 16mm,179.99,208,5.5,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,117,6.56,
Volair,Mach 1 16mm,159.99,140,5.5,16,4.3,Elongated,Raw carbon fiber,Polymer Honeycomb,114,6.00,
Vulcan,V720HT MAX,249.99,286,4.75,13,4.125,Standard,"Fiberglass,Carbon Fiber",Polymer Honeycomb,110,6.72,
Vulcan,V740HT MAX,249.99,285,5.5,13,4.125,Elongated,"Carbon Fiber,Fiberglass",Polymer Honeycomb,122,5.96,
Wilson,Vesper Power 14mm,249,577,5.25,14,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,114,5.26,
Wilson,Vesper  Control 17mm,249,576,5.25,17,4.25,Standard,Raw carbon fiber,Polymer Honeycomb,114,6.04,
RPM,Friction pro elongated 16,249.99,667,5.5,16,,Elongated,Raw carbon fiber,Polymer Honeycomb,116.18,6,
RPM,Friction pro widebody 16,249.99,666,5.5,16,,Elongated,Raw carbon fiber,Polymer Honeycomb,109.77,6.96,
RPM,Friction pro elongated 14,249.99,665,5.5,14,,Elongated,Raw carbon fiber,Polymer Honeycomb,114.94,5.87,
,Black Diamond 14mm,180,407,5.5,14,4.25,Hybrid,Fiberglass,Polymer Honeycomb,112,6.44,
